elites,descriptors,fitnesses
CN1CCN(CCN(C)S(=O)(=O)c2ccc3ccccc3c2)CC1,"[0.3702022667878788, 0.36795, 0.3132857142857143, 0.6411200000000007]",0.5454545454545454
CN1CCC(CN(F)CN(C)S(=O)(=O)c2ccc3c(Br)cccc3c2)CC1,"[0.7032832980606062, 0.7014333333333337, 0.3132857142857143, 0.7722088888888895]",0.3445378151260504
CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)[NH2+][O-])cc32)CC1,"[0.7126069174424241, 0.3861833333333333, 0.5966428571428571, 0.920902222222223]",0.8602150537634409
Cc1ccc2c(c1)N(C)c1ccccc1S2,"[0.006293546715151489, 0.7879200000000003, 0.023142857142857146, 0.33118888888888925]",0.32323232323232326
CN([O-])S(=O)(=O)c1ccc2c(c1)C(=CCCC[N+](=O)[O-])c1ccccc1S2,"[0.5456316279512424, 0.7096833333333339, 0.7398571428571429, 0.7055244444444445]",0.5533980582524272
CN(C)S(=O)(=O)c1ccc2c(c1)C(=C[NH2+][O-])c1ccccc1S2,"[0.3729098011272726, 0.3919833333333333, 0.5503571428571429, 0.558346666666667]",0.6021505376344086
CN1CCN(CCN(Br)N(C)N(C)CN(C)N(C)N=Cc2ccccc2)CC1,"[0.6945963794545457, 0.3015833333333338, 0.25028571428571433, 0.8836111111111117]",0.3360655737704918
CN1CCN(CC(=O)N(F)S(=O)(=O)N(CF)C(=O)OCl)CC1,"[0.42133931727272717, 0.03518333333333327, 0.6462142857142859, 0.34398666666666694]",0.23275862068965517
CN(C)S(=O)(=O)c1ccc2c(c1)C(=CCCN)c1ccccc1S2,"[0.4093836966060608, 0.6136666666666669, 0.4528571428571429, 0.651446666666667]",0.6888888888888889
CN(C=O)N1c2ccccc2Sc2cc(S(=O)(=O)N[N+](=O)[O-])ccc21,"[0.46977245904242415, 0.3770833333333334, 0.8061428571428573, 0.5587655555555557]",0.3391304347826087
CN(C)C=CN(C)N(Br)CCN1CCN(C)CC1,"[0.2852641149454545, 0.20421666666666682, 0.11571428571428573, 0.4462222222222228]",0.2761904761904762
