smiles,descriptors,fitnesses
Cc1ccc(-c2cc(-c3ccc(S(N)(=O)=O)cc3)ncn2)cc1,"[0.3032984779393942, 0.5444033333333334, 0.613857142857143, 0.5446022222222224]",0.5280898876404494
CS(=O)(=O)c1ccc(Br)cc1,"[0.027075795648484863, 0.39210000000000006, 0.24385714285714286, 0.08057555555555575]",0.2345679012345679
Cc1ccc2c(C3CC(C(F)(F)F)=NN3c3ccc(S(N)(=O)=O)cc3)c[nH]c2c1,"[0.5972800952848485, 0.7489033333333336, 0.6539285714285713, 0.7130877777777778]",0.51
FC(F)(F)Oc1ccc(Nc2cc(C(F)(F)F)ncn2)cc1,"[0.2971191853454548, 0.7729333333333335, 0.336, 0.2604633333333334]",0.24761904761904763
NS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)CC2c2c[nH]c3cc(Br)ccc23)cc1,"[0.7909008892363636, 0.8245833333333338, 0.6539285714285715, 0.7460099999999998]",0.4519230769230769
Cc1ccc(-c2cnc(-c3cn(-c4ccc(S(N)(=O)=O)cc4)c(=O)[nH]3)n2C)cc1,"[0.5579420014181817, 0.44815333333333324, 0.8269285714285715, 0.7793100000000004]",0.52
NS(=O)(=O)c1ccc(-n2cc(-c3ccc(F)cc3)nnc2=O)cc1,"[0.36682905888484857, 0.2635, 0.771, 0.493291111111111]",0.4838709677419355
NC(=O)c1cn(-c2ccc(S(N)(=O)=O)cc2)nc1-c1ccc(Br)cc1,"[0.5908762829575759, 0.4246833333333333, 0.8647857142857144, 0.62879]",0.47368421052631576
CS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,"[0.22740359167272728, 0.7126500000000004, 0.24385714285714286, 0.3332200000000002]",0.47058823529411764
CS(=O)(=O)c1ccc(-c2ccc(-c3ccc(F)cc3)n2-c2ccc(F)cc2)cc1,"[0.5578630491636364, 0.998833333333334, 0.2790714285714286, 0.7740755555555556]",0.39090909090909093
N#Cn1c(-c2ccc(F)cc2)cn(-c2ccc(S(N)(=O)=O)cc2)c1=O,"[0.4031926952484847, 0.32027999999999995, 0.7919999999999999, 0.5311911111111115]",0.48936170212765956
CS(=O)(=O)c1ccc(-c2nc(-c3ccc(S(N)(=O)=O)cc3)cc(C(F)(F)F)n2)cc1,"[0.703144795721212, 0.5633833333333335, 0.8577142857142857, 0.6932111111111112]",0.52
Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,"[0.303374696509091, 0.7774400000000005, 0.2790714285714286, 0.5976533333333336]",0.5168539325842697
Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1F,"[0.08502205407272727, 0.5166033333333334, 0.2790714285714286, 0.2691200000000003]",0.39285714285714285
Cc1ccc(-c2cnc(NCc3ccc(C(F)(F)S(C)(=O)=O)cc3)n2C)cc1,"[0.5458553162181817, 0.7669200000000004, 0.4570714285714286, 0.7320833333333336]",0.45098039215686275
Cc1ccc(-c2cn(-c3ccc(S(N)(=O)=O)cc3)c(=O)[nH]2)cc1,"[0.315404279818182, 0.38140333333333326, 0.699642857142857, 0.5326211111111113]",0.5697674418604651
Cc1ccc(-c2ccc(-c3coc(=O)n3-c3ccc(C(=O)O)cc3)cc2)cc1,"[0.44277502431515153, 0.8785200000000007, 0.5174285714285715, 0.743036666666667]",0.36036036036036034
Cc1ccc(-c2cnc(NNS(=O)(=O)c3ccc(-c4noc(C(F)(F)F)n4)cc3)n2C)cc1,"[0.7669802850424244, 0.7116200000000003, 0.821, 0.8006800000000002]",0.46846846846846846
NS(=O)(=O)c1ccc(-n2cc(-c3ccc(F)cc3)[nH]c2=O)cc1,"[0.32744951655757565, 0.35318333333333335, 0.699642857142857, 0.479521111111111]",0.4835164835164835
CCOCCc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(C(F)(F)F)cc2)c1S(N)(=O)=O,"[0.8821213590787879, 0.7155000000000004, 0.7747142857142858, 0.8987444444444449]",0.4818181818181818
NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)c(-c3ccc(Br)cc3)n2)cc1,"[0.6665780131878791, 0.7446666666666671, 0.557, 0.5897244444444443]",0.5955056179775281
Cc1ccc(-c2ccc(S(N)(=O)=O)cc2)n1-c1ccc(F)cc1,"[0.3184358392121214, 0.6232033333333336, 0.46492857142857147, 0.5252577777777779]",0.5517241379310345
NS(=O)(=O)c1ccc(N2N=C(C(F)(F)F)C(S(=O)(=O)O)C2c2cccc3ccccc23)cc1,"[0.8304495371878786, 0.6205333333333337, 0.9295, 0.842331111111111]",0.4375
Cc1ncc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,"[0.3184358392121214, 0.648386666666667, 0.37114285714285716, 0.5200533333333337]",0.4835164835164835
Cc1ccc(-c2ccc(C)n2-c2ccc(F)cc2)cc1,"[0.12159599312727279, 0.9000400000000006, 0.03521428571428571, 0.4515222222222227]",0.43820224719101125
NS(=O)(=O)c1ccc(-c2ccc(F)cc2)cc1,"[0.07891402357575757, 0.4400166666666667, 0.4297142857142857, 0.25788000000000016]",0.4567901234567901
Cc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(C(F)(F)F)cc2)c1C,"[0.5093970741696969, 0.9472400000000006, 0.2790714285714286, 0.6532311111111117]",0.5483870967741935
Cc1ccc(-c2cnc(Cc3ccc(C(F)(F)F)cc3)n2C)cc1,"[0.31858904001212124, 0.9175200000000006, 0.12728571428571428, 0.5292333333333337]",0.46808510638297873
Cc1ccc(NS(=O)(=O)c2ccc(-c3noc(-c4noc(C(F)(F)F)n4)n3)cc2)cc1,"[0.6850188167393941, 0.7357700000000004, 0.8857857142857143, 0.6668388888888888]",0.43636363636363634
CS(=O)(=O)c1ccc(-c2nc(Nc3ccc(O)cc3)cc(C(F)(F)F)n2)cc1,"[0.5577902938424243, 0.7525166666666671, 0.6584285714285715, 0.6329922222222224]",0.46534653465346537
Cc1ccc(-c2cnc(C(F)(F)F)n2C)cc1,"[0.04571949397575755, 0.652386666666667, 0.12728571428571428, 0.20425555555555575]",0.40963855421686746
CS(=O)(=O)c1ccc(NCc2ccc(O)cc2)cc1,"[0.15780989193939393, 0.48463333333333347, 0.4742857142857143, 0.3887255555555558]",0.30526315789473685
CCOCCc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(C)cc2)c1C,"[0.5217308021939395, 0.8739400000000007, 0.34500000000000003, 0.822064444444445]",0.46078431372549017
Cn1c(-c2ccc(S(N)(=O)=O)cc2)cnc1NCc1ccc(C(F)(F)F)cc1,"[0.5609164589212121, 0.6442333333333337, 0.6429285714285715, 0.6531988888888891]",0.5416666666666666
CCOCCc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(C(F)(F)F)cc2)c1C,"[0.6852815129939395, 0.9923366666666675, 0.34500000000000003, 0.8250088888888895]",0.4857142857142857
Cc1c(CCOF)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(C(F)(F)F)cc1,"[0.6548550828727274, 0.9697700000000006, 0.34500000000000003, 0.7201977777777782]",0.5
NS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1,"[0.23041949763636363, 0.5866333333333337, 0.4297142857142857, 0.3139244444444445]",0.5432098765432098
NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)[nH]c2=O)cc1,"[0.24855711144242415, 0.22196666666666673, 0.699642857142857, 0.2529433333333333]",0.4418604651162791
