index,smiles,pedegree,descriptors,fitnesses
CCN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3C)CC1,CCN1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3C)CC1,"('crossover', 'CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1', 'CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCN(CCc4ccccc4)CC3)ccc21')","[0.33972614269090917, 0.11198333333333325, 0.5571428571428572, 0.5006144444444449]",0.3333333333333333
CC1=C(C)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1,CC1=C(C)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1,"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1', 'CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1')","[0.30368306813333334, 0.5424666666666669, 0.2565, 0.6655166666666672]",0.4166666666666667
CN1CCN(CCS(=O)(=O)N2CCN(CCc3ccccc3)CC2)CC1,CN1CCN(CCS(=O)(=O)N2CCN(CCc3ccccc3)CC2)CC1,"('crossover', 'Cc1ccc2nc3ccccc3c(NCCN3CCN(C)CC3)c2c1', 'CN1C(=O)C(=O)c2cc(S(=O)(=O)N3CCN(CCc4ccccc4)CC3)ccc21')","[0.47037756746666654, 0.1539833333333339, 0.33642857142857147, 0.732031111111112]",0.3333333333333333
CCN(CC)S(=O)(=O)N1CCN(C)CC1,CCN(CC)S(=O)(=O)N1CCN(C)CC1,"('crossover', 'CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2', 'CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1')","[0.03071347852121209, 0.053400000000000225, 0.31328571428571433, 0.23234222222222273]",0.26262626262626265
CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1,CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1,"('database', 'no reaction', 'no parent')","[0.30968083951515163, 0.45840000000000014, 0.401, 0.6316811111111118]",0.4036697247706422
CN1CCN(CCCCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1,CN1CCN(CCCCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1,"('crossover', 'CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1', 'CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2')","[0.6551013961333333, 0.6910666666666669, 0.5854285714285714, 0.9081233333333341]",0.4262295081967213
CCN(CC)S(=O)(=O)CCC(=O)NN1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,CCN(CC)S(=O)(=O)CCC(=O)NN1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,"('crossover', 'CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1', 'CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1')","[0.6821307933454546, 0.6317333333333335, 0.8061428571428573, 0.8363100000000006]",0.2923076923076923
CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CS(C)(=O)=O)c1,CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CS(C)(=O)=O)c1,"('crossover', 'CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21', 'CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1')","[0.3909427007878788, 0.17890000000000003, 0.7187142857142857, 0.451836666666667]",0.25225225225225223
CN1CCN(N2CCN(CCc3ccc(NS(=O)(=O)c4cccc(Cl)c4)cc3)CC2)CC1,CN1CCN(N2CCN(CCc3ccc(NS(=O)(=O)c4cccc(Cl)c4)cc3)CC2)CC1,"('crossover', 'COc1ccc2c(c1)Sc1ccccc1N2NC(=O)CCN1CCN(C)CC1', 'CN1CCN(CCc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2)CC1')","[0.7642318907393939, 0.4938833333333335, 0.4223571428571429, 0.9943277777777784]",0.3511450381679389
CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,"('crossover', 'CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2', 'CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1')","[0.24258915369696968, 0.702116666666667, 0.267, 0.4755200000000005]",0.38235294117647056
CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1,CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1,"('database', 'no reaction', 'no parent')","[0.5701580624121212, 0.5610333333333335, 0.5854285714285714, 0.805523333333334]",0.4482758620689655
CC1CCN(CCCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,CC1CCN(CCCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,"('crossover', 'CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21', 'CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2')","[0.5792703640484846, 0.8858000000000007, 0.2901428571428572, 0.8508644444444451]",0.43478260869565216
CCCC(=O)NN1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,CCCC(=O)NN1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,"('crossover', 'CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1', 'CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1')","[0.3154042798181818, 0.7548000000000005, 0.5391428571428571, 0.5427900000000002]",0.28205128205128205
CCN(CC)S(=O)(=O)c1cccc(Cl)c1,CCN(CC)S(=O)(=O)c1cccc(Cl)c1,"('crossover', 'CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1', 'CN1CCN(CCc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2)CC1')","[0.06679811323636362, 0.47841666666666677, 0.267, 0.23954222222222268]",0.22549019607843138
CN1CCN(CCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,CN1CCN(CCN2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,"('crossover', 'CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21', 'CN1CCN(CCc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2)CC1')","[0.539814603151515, 0.5733666666666669, 0.3132857142857143, 0.7895533333333341]",0.5728155339805825
CN1CCN(CCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,CN1CCN(CCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1', 'CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1')","[0.49434421012121216, 0.27771666666666667, 0.5211428571428571, 0.6612055555555562]",0.47115384615384615
CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1,CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1,"('database', 'no reaction', 'no parent')","[0.7218343607272728, 0.6253333333333334, 0.6070714285714286, 0.9477800000000005]",0.4146341463414634
CN(C)S(=O)(=O)CN1CCN(c2ccccn2)CC1,CN(C)S(=O)(=O)CN1CCN(c2ccccn2)CC1,"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1', 'CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1')","[0.1791839299393938, 0.09208333333333348, 0.4053571428571429, 0.3944088888888894]",0.3269230769230769
CN1CCN(N2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,CN1CCN(N2c3ccccc3Sc3ccc(S(C)(=O)=O)cc32)CC1,"('crossover', 'Cc1ccc2nc3ccccc3c(NCCN3CCN(C)CC3)c2c1', 'CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21')","[0.4548712694303028, 0.5592000000000003, 0.3132857142857143, 0.6813977777777784]",0.5
CN1CCN(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)CC1,CN1CCN(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc4ccccc4c3)CC2)CC1,"('crossover', 'CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1', 'CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1')","[0.6458774160969697, 0.18971666666666706, 0.5802857142857144, 0.8029955555555564]",0.336
CCN(CC)S(=O)(=O)c1ccc(N2CCN([N+](=O)[O-])CC2)c(NC(=O)Nc2ccccc2F)c1,CCN(CC)S(=O)(=O)c1ccc(N2CCN([N+](=O)[O-])CC2)c(NC(=O)Nc2ccccc2F)c1,"('crossover', 'CCN(CC)S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1', 'CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1')","[0.815681112678788, 0.5523166666666667, 0.9152142857142856, 0.9596733333333337]",0.3358208955223881
Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)CN1CCN(c2ccccn2)CC1,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)CN1CCN(c2ccccn2)CC1,"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(NC(=O)CN2CCN(c3ccccn3)CC2)c1', 'CC1=C(O)c2ccccc2C(=O)C1=NCCCN1CCN(C)CC1')","[0.5823741234060609, 0.3168366666666666, 0.6132142857142857, 0.8174611111111114]",0.43103448275862066
CN1CCN(CCc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2P)CC1,CN1CCN(CCc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2P)CC1,"('mutation', '[*;!H0:1]>>[*:1]-P', 'CN1CCN(CCc2ccc(NS(=O)(=O)c3cccc(Cl)c3)cc2)CC1')","[0.6063920071212122, 0.48851666666666677, 0.37607142857142856, 0.8409722222222227]",0.41228070175438597
CN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,CN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21,"('crossover', 'CS(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(C(N)=O)CC1)c1ccccc1S2', 'CN1CCCCC1CCN1c2ccccc2Sc2ccc(S(C)(=O)=O)cc21')","[0.20011748683636363, 0.6371000000000003, 0.267, 0.4242200000000005]",0.3939393939393939
CCCCN1c2ccc(O)cc2Sc2ccc(Cl)cc21,CCCCN1c2ccc(O)cc2Sc2ccc(Cl)cc21,"('crossover', 'CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1', 'CN1CCN(CCCN2c3ccc(O)cc3Sc3ccc(Cl)cc32)CC1')","[0.24261852367272715, 0.9914000000000006, 0.16764285714285712, 0.5066200000000003]",0.24561403508771928
