index,smiles,pedegree,descriptors,fitnesses
CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2O)CC1,CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2O)CC1,"('crossover', 'CN1CCN(CCC(=O)N(C)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1', 'CN1CCN(Cc2cc(S(=O)(=O)N(C)C)ccc2O)CC1')","[0.3095807959393939, 0.15540000000000007, 0.4577857142857143, 0.5180066666666673]",0.5104166666666666
CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"('crossover', 'CCCCN1c2ccc(O)cc2Sc2ccc(O)cc21', 'CN1CCN(CCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1')","[0.3640235626909091, 0.31336666666666674, 0.31328571428571433, 0.5551755555555562]",0.5104166666666666
CN1CCN(CCC(=O)N(C)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,CN1CCN(CCC(=O)N(C)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"('mutation', '[*;!H0:1]>>[*:1]-C', 'CN1CCN(CCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1')","[0.5368158769818182, 0.2817666666666667, 0.45835714285714285, 0.7143200000000007]",0.46226415094339623
Cc1cccc(S(=O)(=O)N2CCN(C)CC2)c1,Cc1cccc(S(=O)(=O)N2CCN(C)CC2)c1,"('crossover', 'Cc1cccc(S(=O)(=O)c2ccc(CCN3CCN(C)CC3)c(P)c2)c1', 'CCN([N+](=O)[O-])S(=O)(=O)c1ccc(N2CCN(C)CC2)c(NC(=O)Nc2ccccc2F)c1')","[0.08820878429090907, 0.23851999999999998, 0.2901428571428572, 0.30483111111111155]",0.3333333333333333
CC1=C(C)c2ccccc2C(=O)C1=NCCN1CCN(C)CC1,CC1=C(C)c2ccccc2C(=O)C1=NCCN1CCN(C)CC1,"('crossover', 'Cc1ccc(S(=O)(=O)N(C)C)cc1CCN1CCN(C)CC1', 'CC1=C(O)c2ccccc2C(=O)C1=NCCN1CCN(C)CC1')","[0.2612114012727273, 0.47745, 0.2565, 0.6142166666666671]",0.42857142857142855
CCCN1c2ccccc2Sc2ccc(-c3cc(S(=O)(=O)N(C)C)ccc3O)cc21,CCCN1c2ccccc2Sc2ccc(-c3cc(S(=O)(=O)N(C)C)ccc3O)cc21,"('crossover', 'CCCC(=O)NSc1cc(S(=O)(=O)N(C)C)ccc1O', 'CCCN1c2ccccc2Sc2ccc(C)cc21')","[0.651887377660606, 0.9703666666666676, 0.4346428571428572, 0.914195555555556]",0.45689655172413796
CCCN1c2ccccc2Sc2ccc([N+](=O)[O-])cc21,CCCN1c2ccccc2Sc2ccc([N+](=O)[O-])cc21,"('crossover', 'CN(C)S(=O)(=O)c1ccc(Cl)c(CC(=O)N2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)c1', 'CCCN1c2ccccc2Sc2ccc(C)cc21')","[0.18508363238787887, 0.8512500000000006, 0.33128571428571424, 0.4550933333333338]",0.3148148148148148
CN(C)S(=O)(=O)c1ccc(Cl)c(CC(=O)N2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)c1,CN(C)S(=O)(=O)c1ccc(Cl)c(CC(=O)N2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)c1,"('crossover', 'CN1CCN(CCC(=O)N(C)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1', 'CN1CCN(CCCCC(=O)N2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1')","[0.8425383041090909, 0.895083333333334, 0.7202142857142858, 0.9648466666666672]",0.3643410852713178
CN1CCN(CCC(N)N2c3ccccc3Sc3ccc(S(=O)(=O)[N+](=O)[O-])cc32)CC1,CN1CCN(CCC(N)N2c3ccccc3Sc3ccc(S(=O)(=O)[N+](=O)[O-])cc32)CC1,"('crossover', 'CN1CCN(CC(N)N2c3ccccc3Sc3ccc(S(=O)(=O)[N+](=O)[O-])cc32)CC1', 'Cc1cc(S(=O)(=O)N(C)C)ccc1-c1ccccc1F')","[0.7216205947878788, 0.44616666666666677, 0.8072857142857144, 0.887284444444445]",0.5087719298245614
CN1CCN(C(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2O)CC1,CN1CCN(C(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2O)CC1,"('crossover', 'CN1CCN(CCN(O)c2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1', 'CN1CCN(CCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2O)CC1')","[0.35495810964848473, 0.1536333333333333, 0.6656428571428571, 0.5229811111111116]",0.4
CN(C)S(=O)(=O)N1c2ccccc2Sc2ccc(S(=O)(=O)[N+](=O)[O-])cc21,CN(C)S(=O)(=O)N1c2ccccc2Sc2ccc(S(=O)(=O)[N+](=O)[O-])cc21,"('crossover', 'Cc1ccc(S(=O)(=O)N(C)C)cc1N1c2ccccc2Sc2ccc(S(=O)(=O)[N+](=O)[O-])cc21', 'CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1')","[0.5757474185939392, 0.42685, 0.8421428571428572, 0.6214777777777781]",0.37168141592920356
CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2CS(C)=O)CC1,CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2CS(C)=O)CC1,"('crossover', 'CN1CCN(N2CCN(CN3c4ccccc4Sc4ccc(S(C)=O)cc43)CC2)CC1', 'CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2CS(C)(=O)=O)CC1')","[0.7218070724727274, 0.46205000000000024, 0.4352142857142858, 0.9795800000000005]",0.5981308411214953
CN1CCN(CCC(=O)C=NCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,CN1CCN(CCC(=O)C=NCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1,"('mutation', '[*;!H0:1]~[*:2]>>[*:1]=C-[*:2]', 'CN1CCN(CCC(=O)NCC(=O)Nc2cc(S(=O)(=O)N(C)C)ccc2Cl)CC1')","[0.7035001607757574, 0.21770000000000014, 0.7313571428571427, 0.8652722222222228]",0.42735042735042733
CCCc1cc(S(=O)(=O)N(C)C)ccc1-c1ccccc1F,CCCc1cc(S(=O)(=O)N(C)C)ccc1-c1ccccc1F,"('crossover', 'CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2F)CC1', 'CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2F)CC1')","[0.29127235787878786, 0.6992500000000005, 0.267, 0.5189311111111118]",0.43564356435643564
CN1CCN(Cc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2CS(C)=O)CC1,CN1CCN(Cc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2CS(C)=O)CC1,"('crossover', 'CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2CS(C)(=O)=O)CC1', 'CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2CS(C)=O)CC1')","[0.6793354056121212, 0.4549666666666667, 0.4352142857142858, 0.9255022222222228]",0.5849056603773585
O=C(NN1c2ccccc2Sc2cc([N+](=O)[O-])ccc21)S(=O)(=O)N1CCCCC1,O=C(NN1c2ccccc2Sc2cc([N+](=O)[O-])ccc21)S(=O)(=O)N1CCCCC1,"('mutation', '[*;!r;!H0:1]~[*!r:2]~[*:3]~[*:4]~[*!r:5]~[*;!r;!H0:6]>>[*:1]1~[*:2]~[*:3]~[*:4]~[*:5]~[*:6]1', 'CCCN(CC)S(=O)(=O)C(=O)NN1c2ccccc2Sc2cc([N+](=O)[O-])ccc21')","[0.6335510959878788, 0.6896333333333337, 0.8061428571428572, 0.763065555555556]",0.31496062992125984
Cc1ccc2c(c1Cl)N(CCN1CCN(C)CC1)c1ccccc1S2,Cc1ccc2c(c1Cl)N(CCN1CCN(C)CC1)c1ccccc1S2,"('mutation', '[*;!H0:1]>>[*:1]-Cl', 'Cc1ccc2c(c1)N(CCN1CCN(C)CC1)c1ccccc1S2')","[0.44890286802424234, 0.8330866666666674, 0.06942857142857144, 0.7521888888888892]",0.4811320754716981
CCCC(=O)NN1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,CCCC(=O)NN1c2ccccc2Sc2cc([N+](=O)[O-])ccc21,"('crossover', 'CN1CCN(CCC(=O)NN2c3ccccc3Sc3cc([N+](=O)[O-])ccc32)CC1', 'CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1')","[0.3154042798181818, 0.7548000000000005, 0.5391428571428571, 0.5427900000000002]",0.28205128205128205
Cc1cc(S(=O)(=O)N(C)C)ccc1-c1ccccc1S(=O)(=O)[N+](=O)[O-],Cc1cc(S(=O)(=O)N(C)C)ccc1-c1ccccc1S(=O)(=O)[N+](=O)[O-],"('crossover', 'CN1c2ccccc2Sc2ccc(S(=O)(=O)[N+](=O)[O-])cc21', 'Cc1cc(S(=O)(=O)N(C)C)ccc1-c1ccccc1-c1ccccc1F')","[0.48195447949090875, 0.3962866666666667, 0.8190000000000002, 0.5740888888888894]",0.3853211009174312
CN(C)S(=O)(=O)c1ccc(Cl)c(-c2ccc(Cl)c(N(O)CS(=O)(=O)[N+](=O)[O-])c2)c1,CN(C)S(=O)(=O)c1ccc(Cl)c(-c2ccc(Cl)c(N(O)CS(=O)(=O)[N+](=O)[O-])c2)c1,"('crossover', 'CN1c2ccccc2Sc2ccc(S(=O)(=O)[N+](=O)[O-])cc21', 'CN1CCN(CCN(O)c2cc(-c3cc(S(=O)(=O)N(C)C)ccc3Cl)ccc2Cl)CC1')","[0.7817359005454543, 0.5283833333333335, 0.9866428571428573, 0.7535277777777782]",0.29838709677419356
CN1CCN(CCc2ccc(S(=O)(=O)N(C)C)cc2CCN2CCN(C)CC2)CC1,CN1CCN(CCc2ccc(S(=O)(=O)N(C)C)cc2CCN2CCN(C)CC2)CC1,"('crossover', 'CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2F)CC1', 'CN1CCN(CCc2cc(S(=O)(=O)N(C)C)ccc2-c2ccccc2F)CC1')","[0.6432801408727274, 0.16945000000000074, 0.35957142857142865, 0.9177422222222232]",0.4083333333333333
